cc_trt,site_sys,estimate,std.error,df,asymp.LCL,asymp.UCL,model
ccrye,Boyd_B42_grain,3.44217029111831,0.30748008128372784,Inf,2.839520405838755,4.044820176397865,pois
no,Boyd_B42_grain,2.5913778523366267,0.3181145169804524,Inf,1.9678848560955846,3.214870848577669,pois
ccrye,Boyd_B44_grain,3.149746888711661,0.30664768915824014,Inf,2.548728462019077,3.7507653154042453,pois
no,Boyd_B44_grain,3.332804438132087,0.30641376925046004,Inf,2.732244486034019,3.933364390230155,pois
ccrye,Boyd_B44_silage,3.409197526718481,0.3043660597274181,Inf,2.8126510115363748,4.005744041900588,pois
no,Boyd_B44_silage,4.354440937628854,0.2975836441224091,Inf,3.7711877127607476,4.93769416249696,pois
ccrye,Funcke_F_grain,5.312597886743133,0.36965988814870043,Inf,4.588077819442576,6.037117954043691,pois
no,Funcke_F_grain,6.020306018033574,0.32781568949483986,Inf,5.377799073056523,6.662812963010626,pois
ccrye,Stout_S_grain,2.902617459056895,0.3512784503805788,Inf,2.21412434776592,3.59111057034787,pois
no,Stout_S_grain,3.3273888533182086,0.343934143172113,Inf,2.6532903196472244,4.001487386989193,pois
