cc_trt,site_sys,estimate,std.error,df,asymp.LCL,asymp.UCL,model
no,Boyd_grain,2.9711099851236207,0.22900972695931623,Inf,2.5222591681740094,3.419960802073232,pois
rye,Boyd_grain,3.2890020178920603,0.22577416949568993,Inf,2.8464927770410666,3.731511258743054,pois
no,Boyd_silage,4.297204695893241,0.29598418130702187,Inf,3.7170863605379045,4.877323031248577,pois
rye,Boyd_silage,3.3515919947137074,0.30292663250054314,Inf,2.757866705054642,3.9453172843727726,pois
no,Funcke_grain,6.020232916811308,0.34171543481824207,Inf,5.350482971606109,6.689982862016507,pois
rye,Funcke_grain,5.3086335526570325,0.3888294466256857,Inf,4.54654184114205,6.070725264172015,pois
no,Stout_grain,3.324902074630361,0.35737442939440484,Inf,2.624461064021775,4.025343085238947,pois
rye,Stout_grain,2.8999276458610033,0.3646123571136515,Inf,2.18530055759999,3.6145547341220166,pois
no,Boyd_grain,2.967344627739795,0.23669155298412037,Inf,2.5034377084460653,3.4312515470335248,pois_full
rye,Boyd_grain,3.285997722295461,0.23352990164102205,Inf,2.8282875257658766,3.743707918825045,pois_full
no,Boyd_silage,4.294905059887109,0.3062726431979768,Inf,3.694621709769188,4.895188410005029,pois_full
rye,Boyd_silage,3.3490524340369072,0.31300305117001787,Inf,2.735577726692525,3.9625271413812895,pois_full
no,Funcke_grain,6.020131828896521,0.35443439117535624,Inf,5.325453187310442,6.7148104704826,pois_full
rye,Funcke_grain,5.662244971569175,0.355019798125947,Inf,4.966418953443638,6.358070989694712,pois_full
no,Stout_grain,3.321262281618144,0.36968276572625186,Inf,2.596697375089532,4.045827188146756,pois_full
rye,Stout_grain,2.8950950994606206,0.376801537095855,Inf,2.1565776574334117,3.6336125414878295,pois_full
no,Boyd_grain,3.111083426365802,0.22542542593910744,Inf,2.6692577103255504,3.5529091424060537,binom
rye,Boyd_grain,3.4396478732866105,0.2267131066204867,Inf,2.9952983494872676,3.8839973970859534,binom
no,Boyd_silage,4.448381649611813,0.29359002928159433,Inf,3.872955765999828,5.023807533223797,binom
rye,Boyd_silage,3.423405770913113,0.2974182994077379,Inf,2.840476615730797,4.0063349260954295,binom
no,Funcke_grain,6.027405213350848,0.33493501118929025,Inf,5.370944654258319,6.683865772443377,binom
rye,Funcke_grain,5.319909206047886,0.3800257190487165,Inf,4.575072483513465,6.064745928582307,binom
no,Stout_grain,3.4298462928690663,0.3565248372749334,Inf,2.7310704522161937,4.128622133521939,binom
rye,Stout_grain,2.9841266403073594,0.3601281560397961,Inf,2.2782884246505386,3.6899648559641802,binom
no,Boyd_grain,3.1087712842148267,0.23464986238051605,Inf,2.6488660049717354,3.568676563457918,binom_full
rye,Boyd_grain,3.43430997454547,0.23562511367376804,Inf,2.9724932378917286,3.8961267111992113,binom_full
no,Boyd_silage,4.44398362828742,0.3046364833880067,Inf,3.8469070924699924,5.041060164104847,binom_full
rye,Boyd_silage,3.4181130526240295,0.30799841559998875,Inf,2.8144472507526523,4.021778854495407,binom_full
no,Funcke_grain,6.037144451982197,0.3505411741209371,Inf,5.3500963756067765,6.724192528357618,binom_full
rye,Funcke_grain,5.7593092424871255,0.3576544600406341,Inf,5.058319381897363,6.460299103076888,binom_full
no,Stout_grain,3.420696845293995,0.37043613621002114,Inf,2.69465535975018,4.1467383308378105,binom_full
rye,Stout_grain,2.975654063428169,0.37422961808860283,Inf,2.2421774900263283,3.7091306368300097,binom_full
