level1,level2,estimate,std.error,df,z.ratio,p.value
"no,Boyd_grain","no,Boyd_silage",-1.3260947107696195,0.32280379894650385,Inf,-4.108051748763293,0.001039807825839234
"no,Boyd_grain","rye,Boyd_silage",-0.38048200959008677,0.3291140933337747,Inf,-1.1560793575746897,0.9440653185145989
"rye,Boyd_grain","no,Boyd_silage",-1.0082026780011801,0.3212856828691264,Inf,-3.1380255385107367,0.03625145409928443
"rye,Boyd_grain","rye,Boyd_silage",-0.06258997682164735,0.32768170411557956,Inf,-0.19100845740099873,0.9999995351113653
"no,Boyd_grain","no,Stout_grain",-0.35379208950674024,0.4241676087972788,Inf,-0.8340855882652441,0.9911953360666328
"no,Boyd_grain","rye,Stout_grain",0.07118233926261758,0.43020908516491285,Inf,0.1654598699033311,0.9999998287196811
"rye,Boyd_grain","no,Stout_grain",-0.03590005673830082,0.42243922196304456,Inf,-0.08498277354899919,0.9999999983611103
"rye,Boyd_grain","rye,Stout_grain",0.389074372031057,0.4284996942488673,Inf,0.9079921812151572,0.9854095330860948
"no,Boyd_silage","no,Stout_grain",0.9723026212628793,0.4634120460713116,Inf,2.0981384267107672,0.4159989513311735
"no,Boyd_silage","rye,Stout_grain",1.3972770500322371,0.46878376538778793,Inf,2.9806430025928474,0.057833559809409185
"rye,Boyd_silage","no,Stout_grain",0.02668992008334653,0.4678444167916624,Inf,0.057048709197767174,0.9999999998990354
"rye,Boyd_silage","rye,Stout_grain",0.45166434885270434,0.4731549317784502,Inf,0.9545802410957251,0.9804897975997742
