level1,level2,site_sys,estimate,std.error,p.value,model
no,rye,Boyd_grain,-0.3178920327684394,0.26082309657479225,0.22291888498072931,pois
no,rye,Boyd_silage,0.9456127011795328,0.35489706730045306,0.007710967133130672,pois
no,rye,Funcke_grain,0.7115993641542759,0.42458613310795196,0.09374141963743463,pois
no,rye,Stout_grain,0.4249744287693578,0.4143481943133251,0.305058635006434,pois
no,rye,Boyd_grain,-0.31865309455566604,0.2686077468543171,0.235498372852291,pois_full
no,rye,Boyd_silage,0.945852625850202,0.3661331198585652,0.009784396671401728,pois_full
no,rye,Funcke_grain,0.35788685732734615,0.3953857778710367,0.3653813439663831,pois_full
no,rye,Stout_grain,0.42616718215752325,0.42673643690667723,0.31795650311820367,pois_full
no,rye,Boyd_grain,-0.32856444692080855,0.25812631719015183,0.20305977442921772,binom
no,rye,Boyd_silage,1.0249758786987,0.3428268580076987,0.002791811218901167,binom
no,rye,Funcke_grain,0.7074960073029616,0.410788399857083,0.08501732705064667,binom
no,rye,Stout_grain,0.44571965256170687,0.3963619635107677,0.260789605467518,binom
no,rye,Boyd_grain,-0.3255386903306431,0.2648434914423174,0.21900663636269535,binom_full
no,rye,Boyd_silage,1.0258705756633897,0.3518176337887874,0.0035464626529344125,binom_full
no,rye,Funcke_grain,0.27783520949507123,0.3890494356227396,0.4751414949790069,binom_full
no,rye,Stout_grain,0.4450427818658266,0.4064797500208526,0.27357327259054287,binom_full
