contrast,site_sys,ratio,std.error,df,z.ratio,p.value,model,SE,asymp.LCL,asymp.UCL
ccrye / no,Boyd_grain,1.3742196494769463,0.35843376060194826,Inf,1.218761438578793,0.22293475137494498,pois,0.35843376060194826,0.8242134599587791,2.2912506732212163
ccrye / no,Boyd_silage,0.3884717014008727,0.13786948481189565,Inf,-2.6642122600998923,0.007716885313165643,pois,0.13786948481189565,0.1937608523241916,0.778848054078503
ccrye / no,Funcke_grain,0.4908819149924047,0.2084256614216547,Inf,-1.675838994463343,0.09376973380135485,pois,0.2084256614216547,0.2135805554593506,1.1282162552127633
ccrye / no,Stout_grain,0.6537178571917667,0.2708710559842703,Inf,-1.025883013496965,0.3049467303422146,pois,0.2708710559842703,0.2901957195548187,1.4726166101518536
