cc_trt,site_sys,rate,std.error,df,asymp.LCL,asymp.UCL,model
ccrye,Boyd_grain,26.816571426494555,6.054778886627486,Inf,17.22720147376935,41.74377969441239,pois
no,Boyd_grain,19.514035792386935,4.469115513156726,Inf,12.4567411062588,30.569599998769295,pois
ccrye,Boyd_silage,28.54939608623867,8.648686612853126,Inf,15.766523449604088,51.69611547493097,pois
no,Boyd_silage,73.49157218733392,21.753131833996566,Inf,41.14207654162148,131.2770680668528,pois
ccrye,Funcke_grain,202.07115492269855,78.57491182076691,Inf,94.30104983194052,433.00421071200907,pois
no,Funcke_grain,411.64921491521073,140.6744058946862,Inf,210.6895743475289,804.2879039700183,pois
ccrye,Stout_grain,18.17172642654303,6.625956676546209,Inf,8.892473261004932,37.13383573152351,pois
no,Stout_grain,27.797506564383784,9.93460838799666,Inf,13.797269922229939,56.00393233968668,pois
