level1,level2,site_sys,estimate,std.error,df,statistic,p.value,metric
no,rye,Central_B42_grain,0.334046201129283,0.4335630425302707,23.350689722576266,0.7704674254055232,0.4487483389498452,shan_hill
no,rye,Central_B44_grain,-0.4243967037233663,0.43356304253027045,23.350689722576018,-0.9788581177182227,0.33768339626073396,shan_hill
no,rye,Central_B44_silage,0.2194849759407268,0.43356304253027045,23.3506897225761,0.5062354361659016,0.617437795010398,shan_hill
no,rye,East_S_grain,-0.1830740647219003,0.4847382178146586,23.350689722576128,-0.3776761517737381,0.7090823967626305,shan_hill
no,rye,West_F_grain,-0.05103993462390105,0.4847382178146586,23.350689722576128,-0.10529381168665425,0.9170419491888793,shan_hill
no,rye,Central_B42_grain,-0.6000000000000014,0.7663042621715096,23.53846153846163,-0.7829788109226424,0.44144651195282114,richness
no,rye,Central_B44_grain,-0.3999999999999997,0.7663042621715098,23.538461538461572,-0.5219858739484264,0.6065579564206081,richness
no,rye,Central_B44_silage,2.2000000000000006,0.7663042621715098,23.538461538461572,2.8709223067163485,0.008514033510018677,richness
no,rye,East_S_grain,-0.7499999999999993,0.8567542108316581,23.5384615384616,-0.8753969230824887,0.3902035587093372,richness
no,rye,West_F_grain,-1.4999999999999998,0.8567542108316583,23.5384615384616,-1.7507938461649784,0.09300565680399923,richness
no,rye,Central_B42_grain,0.15856415912864566,0.10265402311201902,21.45267100574284,1.5446463209300223,0.137056571272752,evenness
no,rye,Central_B44_grain,-0.027707225562453086,0.10265402311201902,21.45267100574286,-0.2699088133371857,0.7898097923474418,evenness
no,rye,Central_B44_silage,-0.1781316360990197,0.10265402311201899,21.452671005742907,-1.7352621037037914,0.09703934898617124,evenness
no,rye,East_S_grain,-0.02636213017166711,0.1147706869211545,21.452671005742907,-0.229693930382916,0.8205055289010466,evenness
no,rye,West_F_grain,-0.030707260287798743,0.12768548720514394,23.91648000071334,-0.24049138989823793,0.8119988660610716,evenness
