model,site_sys,cc_trt,totseeds_m2,se_lo,se_hi
pois,Boyd_grain,no,380.35079222402186,302.50089536881916,478.23569239045906
pois,Boyd_grain,rye,522.688663477248,417.05238090682917,655.0818348850678
pois,Boyd_silage,no,1432.5175145733062,1065.5053725273838,1925.946581284406
pois,Boyd_silage,rye,556.4492512933604,411.0230688098867,753.3294181309301
pois,Funcke_grain,no,8024.197122963501,5701.596265479099,11292.932096581073
pois,Funcke_grain,rye,3938.745426265823,2669.8780741265796,5810.645693251396
pois,Stout_grain,no,541.7941075119544,378.990684049156,774.5331674078884
pois,Stout_grain,rye,354.2176749187624,245.9920622035434,510.0577640632776
pois_full,Boyd_grain,no,378.92132846992894,299.05785628552553,480.11236003889303
pois_full,Boyd_grain,rye,521.1207087063138,412.5889421448758,658.2018209960007
pois_full,Boyd_silage,no,1429.2270306251567,1052.1767535724357,1941.3942554177288
pois_full,Boyd_silage,rye,555.0379075112489,405.8701829591934,759.0286049799305
pois_full,Funcke_grain,no,8023.3860146058205,5628.968091857794,11436.327598390406
pois_full,Funcke_grain,rye,5609.567778782341,3933.202083559606,8000.415436644616
pois_full,Stout_grain,no,539.8256736244921,372.9944331833508,781.2764266132867
pois_full,Stout_grain,rye,352.5100310263424,241.8402880540295,513.8239082250483
binom,Boyd_grain,no,437.49593116709997,349.1990067580178,548.1192273848676
binom,Boyd_grain,rye,607.669927703508,484.40374645434156,762.3036438880894
binom,Boyd_silage,no,1666.307915387651,1242.369347506249,2234.908704449965
binom,Boyd_silage,rye,597.8798117841972,444.06522318303763,804.9724470131875
binom,Funcke_grain,no,8081.955928259417,5781.706621734653,11297.358357960153
binom,Funcke_grain,rye,3983.4086849919972,2724.0294164411594,5825.0269457075165
binom,Stout_grain,no,601.7428966268966,421.2832603176064,859.5036825530265
binom,Stout_grain,rye,385.33404964642455,268.80399300465615,552.3814142684303
binom_full,Boyd_grain,no,436.48554690990943,345.1935937771483,551.921113530975
binom_full,Boyd_grain,rye,604.4348889972795,477.5499873879475,765.0330744127124
binom_full,Boyd_silage,no,1658.9955494002154,1223.3290170760183,2249.8168477260074
binom_full,Boyd_silage,rye,594.7237617789823,437.072295012151,809.2399286363154
binom_full,Funcke_grain,no,8161.052570981677,5747.885097832239,11587.353945444258
binom_full,Funcke_grain,rye,6181.357717349617,4322.714159626285,8839.164890130276
binom_full,Stout_grain,no,596.2623915695195,411.6793165087132,863.6062715399457
binom_full,Stout_grain,rye,382.0830688265853,262.80397827765415,555.4994731841707
