level1,level2,site_sys,estimate,std.error,df,z.ratio,p.value,model
ccrye,no,Boyd_grain,0.31866116745733597,0.2686020651276852,Inf,1.1863690150924722,0.23547660249072846,pois_full
ccrye,no,Boyd_silage,-0.9458892176543695,0.3661248265300418,Inf,-2.5835156457950714,0.00977990311679734,pois_full
ccrye,no,Funcke_grain,-0.3578685910627549,0.39537681050616746,Inf,-0.9051329808761572,0.36539494155523183,pois_full
ccrye,no,Stout_grain,-0.42610074742401005,0.4267275459367732,Inf,-0.9985311505696517,0.31802186704081875,pois_full
