cc_trt,site_sys,estimate,std.error,df,asymp.LCL,asymp.UCL,model
no,Boyd_grain,2.9711099851236207,0.22900972695931623,Inf,2.5222591681740094,3.419960802073232,pois
rye,Boyd_grain,3.2890020178920603,0.22577416949568993,Inf,2.8464927770410666,3.731511258743054,pois
no,Boyd_silage,4.297204695893241,0.29598418130702187,Inf,3.7170863605379045,4.877323031248577,pois
rye,Boyd_silage,3.3515919947137074,0.30292663250054314,Inf,2.757866705054642,3.9453172843727726,pois
no,Funcke_grain,6.020232916811308,0.34171543481824207,Inf,5.350482971606109,6.689982862016507,pois
rye,Funcke_grain,5.3086335526570325,0.3888294466256857,Inf,4.54654184114205,6.070725264172015,pois
no,Stout_grain,3.324902074630361,0.35737442939440484,Inf,2.624461064021775,4.025343085238947,pois
rye,Stout_grain,2.8999276458610033,0.3646123571136515,Inf,2.18530055759999,3.6145547341220166,pois
