weed,West_F_grain,East_S_grain,Central_B42_grain,Central_B44_silage,Central_B44_grain
AMATU,99.65%,91.09%,68.57%,66.56%,40.7%
CHEAL,<0.10%,0.81%,17.14%,19.85%,43.16%
POROL,<0.10%,<0.10%,6.03%,3.51%,5.61%
ERICA,<0.10%,5.67%,<0.10%,<0.10%,0.35%
DIGSA,<0.10%,<0.10%,5.4%,4.27%,0.7%
EUPMA,<0.10%,<0.10%,<0.10%,1.22%,3.16%
SOPT7,<0.10%,<0.10%,0.95%,0.61%,2.46%
PLAMA,<0.10%,0.81%,0.32%,2.29%,0.35%
SETARIA,<0.10%,<0.10%,1.59%,0.61%,0.7%
POLAV,<0.10%,<0.10%,<0.10%,0.15%,1.4%
SECCE,<0.10%,0.81%,<0.10%,<0.10%,0.7%
UD,<0.10%,0.4%,<0.10%,0.61%,0.35%
RAPSR,<0.10%,0.4%,<0.10%,<0.10%,<0.10%
ABUTH,<0.10%,<0.10%,<0.10%,<0.10%,0.35%
OXAST,<0.10%,<0.10%,<0.10%,0.15%,<0.10%
TAROF,<0.10%,<0.10%,<0.10%,0.15%,<0.10%
