site,site_sys,sys_trt,cc_trt,blockID,rep,NMDS1,NMDS2
Central,Central_grain,grain,no,B42,1,-0.07526619853502817,0.2417867214448742
Central,Central_grain,grain,no,B42,2,1.309691561133544,-1.1354668145871731
Central,Central_grain,grain,no,B42,3,1.0187645326338535,0.23260093425038728
Central,Central_grain,grain,no,B42,4,1.4108072460131276,-0.016960849909672487
Central,Central_grain,grain,no,B42,5,0.8435278365843493,-0.10619532224191927
Central,Central_grain,grain,no,B44,1,0.06056912620261078,-0.2531736074683282
Central,Central_grain,grain,no,B44,2,0.2115331866474927,-0.3514115979047646
Central,Central_grain,grain,no,B44,3,0.6782102133568344,-0.8688421558735628
Central,Central_grain,grain,no,B44,4,0.2305641251082223,0.16036793287370396
Central,Central_grain,grain,no,B44,5,1.4970475339500142,0.7434126701713053
Central,Central_grain,grain,rye,B42,1,-0.809627259217363,-0.15191902401131838
Central,Central_grain,grain,rye,B42,2,-0.5112816708274238,-0.004279023361607286
Central,Central_grain,grain,rye,B42,3,1.5381988871332506,0.20578810283224078
Central,Central_grain,grain,rye,B42,4,0.9501182887681865,-0.9073120369812299
Central,Central_grain,grain,rye,B42,5,1.1603089043167023,0.5049524771372202
Central,Central_grain,grain,rye,B44,1,1.1027924143519616,-0.6595857593249204
Central,Central_grain,grain,rye,B44,2,0.9102831559208917,-0.6473484624207747
Central,Central_grain,grain,rye,B44,3,0.9920399587581508,-0.5578369877020796
Central,Central_grain,grain,rye,B44,4,0.0996685169619637,-0.007251709115910398
Central,Central_grain,grain,rye,B44,5,0.6009395871189183,0.19662321556423407
Central,Central_silage,silage,no,B44,1,-0.9948507474542948,-0.45376579562627484
Central,Central_silage,silage,no,B44,2,0.2723052483307707,-0.20151898159876644
Central,Central_silage,silage,no,B44,3,0.6015321337071601,-0.5081497198428351
Central,Central_silage,silage,no,B44,4,-0.6123355224466894,0.09879349714225515
Central,Central_silage,silage,no,B44,5,-0.884452837891532,0.014362348317741459
Central,Central_silage,silage,rye,B44,1,-0.18972215283751404,-0.42293987022489116
Central,Central_silage,silage,rye,B44,2,0.3148812978643398,-0.4880686186911845
Central,Central_silage,silage,rye,B44,3,0.8945374869723367,-0.35278383512136813
Central,Central_silage,silage,rye,B44,4,0.6589427142408758,0.3560578255452428
Central,Central_silage,silage,rye,B44,5,0.1311035240061771,0.43467392457307863
East,East_grain,grain,no,S,1,-0.12323901653813255,0.6610179123417329
East,East_grain,grain,no,S,2,0.9633856881580983,0.7319090526659519
East,East_grain,grain,no,S,3,-0.9501396448571809,0.3239805081683977
East,East_grain,grain,no,S,4,-0.263024215676703,0.6442502825379989
East,East_grain,grain,rye,S,1,0.26052003392194206,0.8380501048294229
East,East_grain,grain,rye,S,2,1.1045275475746275,1.1987524341203175
East,East_grain,grain,rye,S,3,-0.3122050804764609,0.5789928553546178
East,East_grain,grain,rye,S,4,-0.33164418842205146,0.4817552398833668
West,West_grain,grain,no,F,1,-1.6828888842410412,0.017531840365378224
West,West_grain,grain,no,F,2,-1.862797850938051,0.007531352555978914
West,West_grain,grain,no,F,3,-1.9488843688417166,-0.15578634566597993
West,West_grain,grain,no,F,4,-1.9596193763246663,-0.022961774096317927
West,West_grain,grain,rye,F,1,-1.197670855485054,0.09720287118858638
West,West_grain,grain,rye,F,2,-1.5963961051910325,0.056852591406945346
West,West_grain,grain,rye,F,3,-1.376942032407083,-0.06597496120385854
West,West_grain,grain,rye,F,4,-2.133812741127384,-0.48771344229624153
