level1,level2,site_sys,pois,pois_full,binom,binom_full
no,rye,Boyd_grain,0.22291888498072931,0.235498372852291,0.20305977442921772,0.21900663636269535
no,rye,Boyd_silage,0.007710967133130672,0.009784396671401728,0.002791811218901167,0.0035464626529344125
no,rye,Funcke_grain,0.09374141963743463,0.3653813439663831,0.08501732705064667,0.4751414949790069
no,rye,Stout_grain,0.305058635006434,0.31795650311820367,0.260789605467518,0.27357327259054287
