model,site_sys,cc_trt,totseeds_m2,totseeds_m2_lo,totseeds_m2_hi
pois,Boyd_grain,no,380.35079222402186,242.80123541514095,595.8236781542328
pois,Boyd_grain,rye,522.688663477248,335.78690794941286,813.6214737972768
pois,Boyd_silage,no,1432.5175145733062,801.9693095473973,2558.8341163796126
pois,Boyd_silage,rye,556.4492512933604,307.30805601115196,1007.57452728055
pois,Funcke_grain,no,8024.197122963501,4107.077363666189,15677.264820426928
pois,Funcke_grain,rye,3938.745426265823,1838.170054894563,8439.760778183172
pois,Stout_grain,no,541.7941075119544,268.92836505344957,1091.5206169357925
pois,Stout_grain,rye,354.2176749187624,173.3451228088247,723.8170834678169
pois_full,Boyd_grain,no,378.92132846992894,238.2740990413986,602.589092759383
pois_full,Boyd_grain,rye,521.1207087063138,329.72913189330484,823.6057016959168
pois_full,Boyd_silage,no,1429.2270306251567,784.1542033594287,2604.9594535340466
pois_full,Boyd_silage,rye,555.0379075112489,300.53424450195354,1025.0648117820838
pois_full,Funcke_grain,no,8023.3860146058205,4005.5539578707476,16071.365862611492
pois_full,Funcke_grain,rye,5609.567778782341,2797.2803837684733,11249.230090535513
pois_full,Stout_grain,no,539.8256736244921,261.5646169920913,1114.1100094320018
pois_full,Stout_grain,rye,352.5100310263424,168.43697372277677,737.7437342154614
binom,Boyd_grain,no,437.49593116709997,281.2493632524237,680.5444377699171
binom,Boyd_grain,rye,607.669927703508,389.6630255925367,947.6463425639923
binom,Boyd_silage,no,1666.307915387651,937.2403366114283,2962.508078687917
binom,Boyd_silage,rye,597.8798117841972,333.7728243460787,1070.968764576434
binom,Funcke_grain,no,8081.955928259417,4191.980748102172,15581.658302199707
binom,Funcke_grain,rye,3983.4086849919972,1891.3695262568237,8389.44718701948
binom,Stout_grain,no,601.7428966268966,299.18270234628375,1210.2789058367025
binom,Stout_grain,rye,385.33404964642455,190.23733112410693,780.5110013872428
binom_full,Boyd_grain,no,436.48554690990943,275.5722884439352,691.3599104505158
binom_full,Boyd_grain,rye,604.4348889972795,380.8772775574176,959.2106344072414
binom_full,Boyd_silage,no,1658.9955494002154,913.1417004457442,3014.062583700012
binom_full,Boyd_silage,rye,594.7237617789823,325.19702517445467,1087.637110563359
binom_full,Funcke_grain,no,8161.052570981677,4105.489890863536,16222.857889516716
binom_full,Funcke_grain,rye,6181.357717349617,3066.5344554809717,12460.053452699502
binom_full,Stout_grain,no,596.2623915695195,288.48391743911606,1232.4043667884423
binom_full,Stout_grain,rye,382.0830688265853,183.4902383772617,795.614375865523
